"","countries","GEF6","GEF7","type","needs","OECD","gdpconstant2010us","amt_provided_developinginthousan","mobilizing_int_finflowsinusdthou","mobililizing_int_flows_coeff","MaxDomExp","LastDomExp","dom_exp","ln_domexp...12","gaps","avail_resources","expected_funding_gap","int_pob","incl","eval","inc_pob","type_exp","sources","domestice_sources","international_sources","report_dom_exp","report_funding_gaps","prepare_fin_plans","countrycode","accesstocleanfuelsandtechnologie","adjustednetenrollmentrateprimary","adjustednetsavingsincludingparti","adjustedsavingscarbondioxidedama","adjustedsavingsenergydepletionof","adjustedsavingsmineraldepletiono","adjustedsavingsnaturalresourcesd","adjustedsavingsnetforestdepletio","adjustedsavingsnetnationalsaving","renewableelectricityoutputoftota","terrestrialandmarineprotectedare","terrestrialprotectedareasoftotal","totalfisheriesproductionmetricto","totalnaturalresourcesrentsofgdp","agriculturallandoflandarea","agriculturalmethaneemissionsofto","agriculturalnitrousoxideemission","agricultureforestryandfishingval","alternativeandnuclearenergyoftot","birdspeciesthreatened","capturefisheriesproductionmetric","CO2_Ems","coalrentsofgdp","droughtsfloodsextremetemperature","fertilizerconsumptionkilogramspe","fishspeciesthreatened","forestrentsofgdp","GDPgrowth","gdpperunitofenergyusepppperkgofo","mammalspeciesthreatened","mineralrentsofgdp","nitrousoxideemissionsinenergysec","oilrentsofgdp","permanentcroplandoflandarea","plantspecieshigherthreatened","Pollution_Expo","povertyheadcountratioatnationalp","refugeepopulationbycountryorterr","urbanpopulationgrowthannual","controlofcorruptionestimate","governmenteffectivenessestimate","politicalstabilityandabsenceofvi","regulatoryqualityestimate","ruleoflawestimate","voiceandaccountabilityestimate","populationgrowthannual","populationtotal","cbd_region","dev","broad_region","biofin","ln_needs","ln_domexp...80","ln_Avail_resources","ThSpecies_Biofin","average_crs","ln_averagecrs","domexp_thousand","lndomexp_thousand","new_avgcrs","ln_newavgcrs","average_agriculture_land","average_agriffvaluegdp","average_aquaculture_productionme","average_arable_land","average_co2emmkt","average_forestarealandarea","average_forestareasqkm","average_gnipercapita","landareasqkm","average_permanentcropland","average_population_density","average_renewable_energy_conspto","_merge","id","Threatened_Species","lnGDP","ln_renewable_output","Aid_GDP","lnAid_GDP","ln_AgriFF","newneeds","GDP_CO2","ln_CO2_Ems","Gov","lnpop","agri_pop","ln_average_co2emmkt","GDP_averageco2emskt","yhat_extrapdomexp","extrapolate_domexp","manual_extrapdomexp","lnmanual_extrapdomexp","yhat_method1","extrap_needs_method1","yhat_method2","extrap_needsII","ln_newneeds","pc1","pc2","pc3","pc4","pca","Needs_prob","Index_dcq","new_domexp","ln_newdomexp","new_domexp_max","ln_newdomexp_max","new_domexp_last","ln_newdomexp_last","new_needs","constant","ln_gef6","ln_gef7"
"115","Liberia",4013399.59,11848253,"Least_dev",NA,0,2.2e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LBR",0.670909,38.8391,-64.7759,1.01339,0,0.698561,15.137,14.4385,-51.0027,0,1.06513,3.53087,12650,25.2442,27.7343,16.7839,60.3594,7.7e+08,NA,14,12624.7,0.182806,0,1.8723,NA,64,19.1866,4.90897,NA,24,6.05756,25.4033,0,2.08113,53,0,52.5,33103.5,3.91383,-0.730465,-1.33217,-0.484977,-0.918832,-0.909494,-0.1354,2.5207,4600000,NA,0,"Africa",0,NA,NA,NA,0,496.329,6.207239,NA,NA,4.96e+08,20.02275,26713.6,46.8526,25.2727,4.88901,788.812,44.6325,42990,487.83,96320,2.08113,42.6348,87.7018,"matched (3)",111,38,21.51172,NA,0.2256041,-1.488973,20.4619,NA,3.932472,-1.69933,-1.978815,15.34157,152.1479,6.670528,143.4946,14.70419,2431905,2431905,14.70419,15.24698,4184839,15.41452,4948125,NA,-1.517572,-0.7635109,-0.8787637,-0.5851775,34.25498,0,16,NA,NA,NA,NA,NA,NA,NA,1,15.2051492181768,16.2876909885168
"116","Libya",5324947.97,NA,"Developing",NA,0,5.5e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LBY",NA,NA,32.927,3.21357,12.3412,0,12.4099,0.068715,55.8742,0,0.288586,0.211232,36308,49.1079,8.73172,4.73829,52.1035,NA,0,8,36215.5,0.393064,0,0,25.6553,32,0.082864,5.08243,8.00204,10,0,11.7117,47.4261,0.189616,7,100,NA,10613.1,1.38263,-1.59056,-1.77149,-2.32732,-2.22408,-1.70494,-1.36981,1.10255,6500000,NA,1,"Africa",0,NA,NA,NA,0,103.306,4.637694,NA,NA,1.03e+08,18.45321,153638,2.08364,92.5455,0.983315,53870.3,0.123328,2170,12060.1,1800000,0.189616,3.569,1.86249,"matched (3)",112,18,24.7306,NA,0.0018783,-6.277394,NA,NA,9.720708,-0.9337829,-4.310379,15.68731,57.44672,10.89433,269.4234,14.65481,2314738,2314738,14.65481,15.04623,3423700,18.48322,1.06e+08,NA,1.427752,-1.909321,-2.999844,3.8528,18.37139,0,8,NA,NA,NA,NA,NA,NA,NA,1,15.48791349862,NA
"117","Liechtenstein",NA,NA,NA,NA,0,5.1e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIE",NA,98.847,NA,0.029295,NA,0,NA,0.006607,NA,85.5472,22.1199,22.1201,0,0.007024,37.75,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,0.007024,3.15288,NA,0,0,NA,NA,NA,0,NA,NA,143.308,0.466697,1.75237,1.75873,1.44325,1.46386,1.57166,1.39851,0.677697,36560.2,NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4,NA,NA,19,52.7131,43.125,69,119074,160,NA,228.501,59.5456,"using only (2)",113,2,22.34904,4.449068,NA,NA,NA,NA,NA,NA,3.691038,10.50671,NA,3.964864,88.61092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"118","Lithuania",NA,NA,"Developed_Countries",NA,1,4.2e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LTU",100,99.3836,6.21946,0.815351,0.093148,0,0.093148,0,2.67933,20.4026,17.6225,16.9954,138626,0.453893,45.0742,37.5977,44.5107,1.2e+09,14.3813,10,135083,0.207993,0,0,98.839,6,0.368359,2.83545,8.62551,2,0,2.43044,0.085533,0.508165,1,0,20.0556,973.692,-1.22543,0.588395,1.05508,0.771726,1.17527,0.985319,0.968862,-1.17068,2900000,NA,3,"Europe",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,28247,3.35515,3542.98,33.5948,13713.4,34.5456,21649.1,13404.5,62664.2,0.508165,48.1888,22.4072,"matched (3)",114,12,24.46094,3.015662,NA,NA,20.90559,36500000,5.087703,-1.570251,2.132509,14.88022,-52.10779,9.526126,233.018,18.44509,1.02e+08,1.02e+08,18.44509,18.57585,1.17e+08,17.52897,4.1e+07,NA,-0.1354495,0.6956452,0.6189798,-0.3762072,12.80297,0,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"119","Luxembourg",NA,NA,"Developed_Countries",NA,1,5.7e+10,NA,NA,NA,41194,35603,38481,17.4656751709501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LUX",100,96.738,20.8799,0.6656,0,0.020887,0.020887,0,16.6328,13.616,38.0049,38.0052,0,0.063729,53.838,82.3313,61.6377,1.3e+08,1.7756,3,0,0.239951,0,0,258.69,1,0.012817,2.56719,11.5581,0,0.050913,17.7059,0,0.684998,0,0,NA,2288.31,2.43633,2.068,1.70644,1.38727,1.6919,1.81802,1.53782,2.23911,582400,NA,3,"Europe",0,NA,10.55792,NA,0,NA,NA,38500000,17.46568,NA,NA,1308.26,0.288332,NA,25.4815,10664.5,35.679,867,77742.8,2430,0.684998,220.028,4.66094,"matched (3)",115,3,24.76632,2.611246,NA,NA,18.68304,7742045,5.942703,-1.427321,4.013399,13.27491,138.0136,9.274672,229.6995,19.10795,1.99e+08,38500000,17.46568,17.58247,43200000,19.12969,2.03e+08,NA,0.3050466,1.079988,1.05156,-0.4516936,4.984901,0,1,38481000,17.4656751709501,41194000,17.5338031726466,35603000,17.3879404619347,NA,1,NA,NA
"120","Macao,SAR, China",NA,NA,NA,NA,0,3.1e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAC",NA,89.117,NA,0.124095,0,0,NA,NA,56.1419,0,NA,NA,1500,0.00084,NA,0,0,NA,NA,4,1500,0.030429,0,NA,NA,9,0.00084,6.96991,NA,0,0,36.4414,0,NA,0,NA,NA,3.5,2.06608,0.531686,1.2252,0.892293,1.41046,0.710949,0.093103,2.06608,563828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1466.8,NA,NA,48074.1,29.8615,NA,18861.3,8.85095,"using only (2)",116,4,24.15709,NA,NA,NA,NA,NA,0.7350677,-3.492371,2.210991,13.2425,0,7.290838,176.1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"121","Macedonia",86573.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3687519308181,NA
"122","Madagascar",38028050.34,6329600,"Least_dev",90000,0,9.4e+09,0,NA,NA,21000,21000,11667,16.272274901806,78000,12000,78000,1,1,1,1,2,3,2000,18000,0,0,0,"MDG",0.958182,NA,5.03321,0.762305,0.019904,0.456014,0.475918,0,5.55588,53.4983,2.22158,5.47637,139336,8.71433,70.9778,73.0059,86.2133,2.2e+09,NA,37,124448,0.07587,0,0.864615,3.42569,111,7.68311,3.19116,NA,121,0.993471,4.07361,0.037751,1.04868,1111,0,71.2,19.625,4.72643,-0.930138,-1.20908,-0.418999,-0.714917,-0.782963,-0.368905,2.68658,2.5e+07,NA,0,"Africa",1,11.40757,9.36452,9.392662,158,275.905,5.620056,11700000,16.27227,2.76e+08,19.43557,412865,24.0562,14888.9,5.81382,2261.72,21.6172,125743,409.665,581699,1.04868,38.5646,78.5316,"matched (3)",117,158,22.96398,3.97965,0.0293516,-3.528409,21.51172,9e+07,1.742277,-2.578734,-1.833592,17.03439,231.6189,7.723883,177.3711,16.62208,16600000,11700000,16.27227,17.65133,46300000,17.83878,55900000,18.3153202282945,-1.479585,-1.69301,1.073795,-0.0876603,155.8135,1,24,11667000,16.272274901806,2.1e+07,16.8600329956877,2.1e+07,16.8600329956877,9e+07,1,17.4538346122216,15.6607476009705
"123","Malawi",14781538.94,8713152,"Least_dev",35200,0,7.4e+09,0,NA,NA,32000,16517.2957481467,21286,16.8735601375831,14200,21000,14200,0,1,1,1,NA,NA,0,8000,0,0,0,"MWI",2.26909,94.9433,-10.6618,0.527711,0.030872,0.001712,7.03079,6.9982,-6.77827,89.9999,20.882,20.8807,103972,8.32316,59.1613,38.4231,85.4853,2.1e+09,NA,19,100692,0.07246,0.043036,8.82049,31.8847,36,8.27373,5.19737,NA,10,0.006392,4.90536,0,1.45119,34,0,51.1,6763.23,3.69542,-0.735158,-0.681704,-0.115333,-0.77645,-0.343691,-0.037657,2.7162,1.7e+07,NA,0,"Africa",1,10.4688,9.965805,9.952278,29,492.567,6.199631,21300000,16.87356,4.93e+08,20.01514,55777.3,28.5284,3280.27,38.0877,1080.54,34.2876,32326.4,466.679,94280,1.45119,163.965,81.5303,"matched (3)",118,29,22.72475,4.499809,0.0665631,-2.709605,21.4652,35200000,1.646635,-2.624721,-1.189645,16.64872,232.1952,6.985219,158.7373,16.73107,18500000,21300000,16.87356,17.22426,30200000,17.74057,50700000,17.3765566405683,-1.608833,-0.8468727,0.7099097,-0.2060816,27.04812,1,14,21286000,16.8735601375831,3.2e+07,17.281246460764,16517295.7481467,16.6199186170247,35200000,1,16.5088895912033,15.9803441662581
"124","Malaysia",11584072.34,11848253,"Developing",NA,0,2.9e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYS",96.4245,97.7704,14.1037,2.2699,4.93158,0.059456,4.99103,0,16.864,7.67965,8.96152,19.1262,1900000,10.0938,23.4217,15.2797,69.3423,2.7e+10,0.835037,63,1400000,0.35322,0.026188,0.096927,1884.2,87,2.86248,4.92539,7.77759,71,0.18581,6.26206,4.89761,19.9712,727,0,2.02,79956.5,2.59509,0.216401,0.966614,0.203229,0.733633,0.525386,-0.33084,1.3512,3.1e+07,NA,1,"Asia",1,NA,NA,NA,134,69.4548,4.240676,NA,NA,69500000,18.05619,76952,9.41781,457571,2.58301,210261,66.7379,219267,9631.31,328550,19.9712,88.207,4.5299,"matched (3)",119,134,26.39315,2.038574,0.0002395,-8.33696,24.0191,NA,9.322587,-1.040664,1.26495,17.2495,93.69531,12.2561,323.4772,19.98301,4.77e+08,4.77e+08,19.98301,20.96716,1.28e+09,21.22387,1.65e+09,NA,0.8033829,1.704783,-0.932927,-0.5321477,135.0431,0,24,NA,NA,NA,NA,NA,NA,NA,1,16.2651416384086,16.2876909885168
"125","Maldives",3580398.77,NA,"Developing",4475.25,0,3e+09,0,NA,NA,203,203,130,11.7752897294377,2743,1732,2743,0,1,1,1,0,1,0,1494,0,0,0,"MDV",84.7618,97.3302,NA,1.06428,0,0,0.006787,0.006787,NA,0.346703,0.050926,1.13273,132721,0.006442,26.4545,1.27428,8.64383,1.6e+08,NA,0,132721,0.214206,0,0.030648,140.357,24,0.006442,7.0908,12.2739,2,0,12.2925,0,10.6061,0,0,8.2,NA,4.95004,-0.640559,-0.399805,0.369562,-0.424511,-0.535773,-0.604958,4.31622,475508,NA,1,"Asia",0,8.406318,4.867535,7.457032,0,20.9251,3.04095,130000,11.77529,20900000,16.85646,79.3636,5.73435,NA,12.5152,969.718,3.33333,10,6225.63,300,10.6061,1357.98,1.17419,"matched (3)",120,2,21.82188,-1.059287,0.006975,-4.965417,18.89068,4475250,4.674377,-1.540817,-0.7477362,13.07214,37.30867,6.877005,150.0692,12.6255,304219.4,130000,11.77529,12.20628,200041,13.7145,903925.6,15.3140727740524,-0.612212,-0.0135864,0.7688738,0.7384214,2.881497,1,1,130000,11.7752897294377,203000,12.2209612580239,203000,12.2209612580239,4475250,1,15.0909847404418,NA
"126","Mali",6334190.07,NA,"Least_dev",NA,0,1.1e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLI",1.03727,64.0988,-0.082962,0.269199,0,6.03876,8.76701,2.72825,6.35805,52.7992,8.2316,8.23107,97582.1,12.0487,33.6621,78.2127,83.4937,3.8e+09,NA,17,95789.3,0.038032,0,0.652855,24.149,2,3.07314,4.37195,NA,14,8.97554,1.44552,0,0.122932,12,50.219,41.4,14809.9,5.22685,-0.683736,-0.992846,-1.79495,-0.578718,-0.747517,-0.22095,2.96405,1.8e+07,NA,0,"Africa",0,NA,NA,NA,0,682.277,6.525435,NA,NA,6.82e+08,20.34095,410742,35.0289,1792.84,5.15035,1030.02,4.12313,50310,687.731,1200000,0.122932,13.1424,69.9728,"matched (3)",121,31,23.12116,3.966496,0.0620252,-2.780215,22.05827,NA,0.8793439,-3.269327,-2.094632,16.70588,247.4795,6.937333,160.3992,15.59916,5951566,5951566,15.59916,16.03737,9224491,16.38607,13100000,NA,-1.645181,-0.998922,0.5735011,0.5611886,29.49059,0,15,NA,NA,NA,NA,NA,NA,NA,1,15.6614725135244,NA
"127","Malta",NA,NA,"Developed_Countries",NA,0,1e+10,NA,NA,NA,24526,20186,21490,16.8830982686187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLT",100,98.4177,NA,0.71989,0,0,NA,NA,9.73242,1.42098,6.39471,28.0876,5722.24,0,31.0028,19.5549,43.0657,1.3e+08,0.535686,5,1925,0.221614,0,NA,214.903,22,0,4.38143,14.1921,2,0,10.2446,0,3.97443,4,0,NA,6506.08,1.46448,0.758584,0.961549,1.16264,1.20555,1.10492,1.17534,2.53503,457299,NA,3,"Europe",0,NA,9.975343,NA,0,NA,NA,21500000,16.8831,NA,NA,99.2091,1.32936,3797.24,27.0284,2524.93,1.09375,3.5,21821.9,320,3.97443,1345.47,1.88665,"matched (3)",122,7,23.02585,0.3513468,NA,NA,18.68304,61700000,5.102851,-1.506818,2.397337,13.03309,109.1728,7.83397,180.3838,14.46526,1915064,21500000,16.8831,17.06368,25700000,18.49886,1.08e+08,NA,-0.0098477,0.9190843,1.379591,0.7856544,10.07448,0,3,21490000,16.8830982686187,24526000,17.0152443373041,20186000,16.8204998527809,NA,1,NA,NA
"128","Marshall Islands",4570142.06,NA,"Developing",NA,0,1.7e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MHL",55.5736,85.5499,NA,1.21057,NA,0,NA,NA,12.7523,0.100054,0.270441,11.9638,66267.5,0,68.6869,0,0,2.4e+07,NA,4,66267,0.560989,NA,0.058414,NA,18,0,1.74432,5.22229,1,0,0,NA,40.9091,0,0,NA,NA,1.03939,-0.069314,-1.56671,0.77078,-1.04418,-0.087322,1.17195,0.51151,57764.8,NA,1,"Oceania",0,NA,NA,NA,0,77.7937,4.354061,NA,NA,77800000,18.16957,123.636,14.4874,0.581,11.1111,100.639,70.2222,126.4,3667.76,180,40.9091,316.076,13.3546,"matched (3)",123,5,18.95131,-2.302045,0.4576102,-0.7817374,16.99356,NA,10.63148,-0.578054,-0.9358137,10.96414,0,4.611537,87.39467,11.21605,74313.88,74313.88,11.21605,11.7018,120789.1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,15.3350548477264,NA
"129","Mauritania",8291684.59,NA,"Least_dev",9000,0,4.9e+09,0,NA,NA,8451,8451,6327,15.660336748129,4500,4500,4500,0,2,0,0,2,1,0,0,0,0,0,"MRT",41.1545,72.0311,-7.54224,1.44059,3.2771,12.6415,17.9496,2.03101,6.99663,2.32316,1.08072,0.621325,333310,37.1046,38.5008,83.311,92.4037,9.1e+08,NA,19,333310,0.181028,0,3.08197,NA,45,2.30962,4.51515,NA,18,30.4598,2.81908,4.3352,0.010672,0,98.3909,36.5,53796.9,4.75613,-0.829733,-0.84904,-0.653783,-0.8012,-0.747623,-0.842563,2.85529,4200000,NA,0,"Africa",0,9.10498,8.752582,8.411833,0,108.437,4.686173,6327000,15.66034,1.08e+08,18.50168,396828,21.6835,NA,0.409254,2242.17,0.232719,2398.64,1276.18,1e+06,0.010672,3.61573,34.147,"matched (3)",124,37,22.3125,0.8429283,0.0221301,-3.810817,20.62896,9e+06,4.039187,-1.709104,-1.735111,15.2506,263.8394,7.715198,172.1454,14.7907,2651680,6327000,15.66034,16.14133,10200000,16.92257,22400000,16.0127351353005,-0.7021479,-1.360293,0.2435783,0.4923544,35.67349,1,17,6327000,15.660336748129,8451000,15.9497953355266,8451000,15.9497953355266,9e+06,1,15.9307637139465,NA
"130","Mauritius",3957444.59,NA,"Developing",NA,0,1.1e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MUS",92.3682,96.1058,1.96922,0.970309,0,0,0,0,-0.63517,22.0364,0.011497,4.73359,10457.5,0.005239,43.8424,16.3443,60.933,3.8e+08,0.610614,12,9922.09,0.199586,0,0,236.503,21,0.005239,4.10226,15.0145,7,0,8.68664,0,1.97044,91,0,7.9,14,-0.016183,0.263914,0.967465,0.904704,1.0542,0.796205,0.827477,0.10539,1300000,NA,1,"Africa",0,NA,NA,NA,0,80.6847,4.390549,NA,NA,80700000,18.20606,890,3.69274,535.392,38.4236,3878.06,18.936,384.4,8963,2030,1.97044,617.637,12.8975,"matched (3)",125,19,23.12116,3.092696,0.007335,-4.915102,19.75568,NA,4.61466,-1.61151,1.847776,14.07788,6.421729,8.263089,191.0522,16.34004,12500000,12500000,16.34004,16.64384,16900000,16.4202,13500000,NA,-0.2716456,0.5565594,1.054895,0.0694297,20.40924,0,9,NA,NA,NA,NA,NA,NA,NA,1,15.1911090693759,NA
"131","Mexico",46935467.57,11848253,"Developing",1600000,1,1.1e+12,0,NA,NA,1484828,1161415,1100000,20.8185760167507,516366,1100000,516366,1,2,1,1,2,1,0,54971,1,1,1,"MEX",83.9864,98.0334,6.60931,1.15738,3.60392,0.429535,4.09264,0.059178,7.06652,15.1432,14.9549,14.4237,1700000,5.10525,54.8599,47.3916,74.3899,3.6e+10,3.03928,71,1500000,0.271664,0.050597,0.149843,82.0623,181,0.109708,2.26921,10.0098,96,0.713221,8.49872,4.04098,1.35755,484,6.23822,42.75,3855.54,1.71926,-0.807618,0.070886,-0.713889,0.283608,-0.533302,-0.045653,1.2025,1.2e+08,"Latin America and the Carribean",1,"America",1,14.28551,13.86452,13.91082,167,599.704,6.396436,1.05e+09,20.77227,6e+08,20.21195,1100000,3.19513,159688,11.9433,482739,34.1724,664295,9541.12,1900000,1.35755,60.2427,9.3815,"matched (3)",126,167,27.72633,2.717551,0.0005452,-7.514384,24.30679,1.6e+09,7.532246,-1.303189,-0.7179532,18.603,89.45386,13.08723,362.8609,20.31159,6.63e+08,1.05e+09,20.77227,21.96614,3.47e+09,21.25616,1.7e+09,21.1932694661921,0.7646296,0.1603996,0.5981414,0.116804,168.64,1,25,1.1e+09,20.8185760167507,1484828000,21.118564777577,1161415000,20.8729049262657,1.6e+09,1,17.6642841857788,16.2876909885168
"132","Micronesia",4221259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2556439827495,NA
"133","Micronesia (country)",NA,NA,"Developing",NA,0,3e+08,NA,NA,NA,7573,7573,5301,15.4834060399699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FSM",11.5309,85.529,NA,1.14017,NA,0,NA,0,NA,0.968806,0.016761,1.45944,41016.5,0.029849,31.6234,64.4881,98.2076,7.8e+07,NA,12,41016.5,0.400408,NA,1.34981,NA,25,0.029849,0.344825,NA,5,0,0.165997,NA,24.2857,5,0,41.2,2.16667,0.585417,0.70916,-0.257716,1.11925,-0.986505,-0.128045,1.13685,1.22912,110131,NA,1,"Oceania",0,NA,8.575651,NA,0,131.013,4.875299,5301000,15.48341,1.31e+08,18.69081,221.364,25.6416,0,3.05195,133.642,91.6532,641.573,2984.02,700,24.2857,152.064,1.28153,"matched (3)",127,17,19.51929,-0.0316909,0.4367109,-0.8284839,18.17222,NA,7.815681,-0.9152712,0.1906066,11.60943,120.7089,4.895163,95.55012,13.73123,919171.4,5301000,15.48341,15.82025,7424156,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5301000,15.4834060399699,7573000,15.840099848096,7573000,15.840099848096,NA,1,NA,NA
"134","Moldova",NA,NA,"Trans_Countries",325.333,0,7.7e+09,0,NA,NA,273389,1638,48335,17.6936664938808,325.333,0,NA,1,2,1,0,2,2,NA,NA,1,1,1,"MDA",87.3264,90.2197,13.24,1.86801,0.035459,0,0.122487,0.087028,8.80279,6.07279,4.15085,4.15036,9174.59,0.259922,75.0107,24.5366,72.2402,8.9e+08,0.879353,11,43.9091,0.28974,0,0.343811,17.7639,8,0.211524,3.74872,5.13296,4,0,7.67222,0.048213,8.98077,2,0,19.84,256.308,-0.132523,-0.847787,-0.538837,-0.291594,-0.049751,-0.384811,-0.023469,-0.071409,3600000,NA,2,"Europe",0,5.784849,10.78591,NA,0,125.192,4.829852,48300000,17.69367,1.25e+08,18.64536,24660.8,11.0779,9130.68,55.3069,4869.78,11.8809,3906,2323.82,32878.5,8.98077,124.04,8.84402,"matched (3)",128,15,22.76449,1.803818,0.0162588,-4.119123,20.60673,325333,6.595782,-1.238771,-0.9336907,15.09644,-5.1586,8.490803,193.2888,16.00261,8909361,48300000,17.69367,17.89006,58800000,16.63436,16800000,12.6926045521364,0.1212121,-1.616865,1.138753,-0.4595115,14.18359,1,6,48335000,17.6936664938808,273389000,19.4264062473555,1638000,14.3089865433952,325333,1,NA,NA
"135","Monaco",NA,NA,NA,NA,0,6.2e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCO",100,NA,NA,NA,NA,NA,NA,NA,NA,0,99.5464,42.9367,1,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,15,0,3.43056,NA,3,0,NA,NA,NA,1,NA,NA,31.875,1.02802,NA,NA,1.10934,NA,0.931221,0.890529,1.02802,36461.1,NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,18138,NA,"using only (2)",129,3,22.54119,NA,NA,NA,NA,NA,NA,NA,NA,10.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
